mfcc_sma[6]_skewness
mfcc_sma[10]_quartile3
mfcc_sma[10]_amean
mfcc_sma[4]_skewness
mfcc_sma[10]_quartile2
voiceProb_sma_linregerrQ
mfcc_sma[4]_quartile2
voiceProb_sma_stddev
mfcc_sma[8]_quartile2
voiceProb_sma_linregerrA
mfcc_sma[4]_quartile3
mfcc_sma[10]_max
mfcc_sma[8]_quartile3
mfcc_sma[3]_max
mfcc_sma[11]_quartile2
voiceProb_sma_iqr1-3
mfcc_sma[9]_min
mfcc_sma[11]_quartile3
mfcc_sma[10]_linregc2
mfcc_sma[6]_max
mfcc_sma[11]_skewness
mfcc_sma[7]_quartile3
mfcc_sma_de[1]_skewness
mfcc_sma[10]_quartile1
mfcc_sma[6]_amean
voiceProb_sma_quartile3
lspFreq_sma[1]_min
mfcc_sma[9]_quartile3
mfcc_sma[4]_max
mfcc_sma[8]_amean
mfcc_sma[4]_min
mfcc_sma[11]_linregc2
mfcc_sma[9]_quartile2
mfcc_sma[4]_amean
mfcc_sma[1]_iqr2-3
mfcc_sma[8]_quartile1
mfcc_sma[11]_amean
mfcc_sma[6]_quartile3
mfcc_sma[9]_skewness
mfcc_sma[10]_skewness
F0_sma_iqr2-3
mfcc_sma[7]_amean
lspFreq_sma[5]_iqr1-3
lspFreq_sma[1]_iqr1-2
mfcc_sma_de[5]_skewness
mfcc_sma[3]_quartile2
mfcc_sma[8]_skewness
mfcc_sma[9]_amean
lspFreq_sma_de[4]_linregerrQ
mfcc_sma[3]_skewness
mfcc_sma[3]_range
mfcc_sma[8]_linregc2
mfcc_sma[5]_amean
F0env_sma_skewness
lspFreq_sma_de[1]_max
mfcc_sma[6]_min
lspFreq_sma[3]_linregerrQ
lspFreq_sma_de[6]_skewness
lspFreq_sma_de[4]_quartile2
mfcc_sma[6]_linregc2
mfcc_sma[5]_linregerrQ
mfcc_sma[5]_min
mfcc_sma_de[8]_max
lspFreq_sma_de[5]_linregerrQ
mfcc_sma_de[1]_max
mfcc_sma_de[8]_range
lspFreq_sma_de[5]_skewness
lspFreq_sma_de[0]_skewness
mfcc_sma[8]_max
lspFreq_sma[6]_iqr1-2
F0_sma_quartile3
lspFreq_sma[5]_quartile1
mfcc_sma[6]_quartile1
F0env_sma_de_max
mfcc_sma[12]_quartile3
mfcc_sma[6]_quartile2
mfcc_sma_de[11]_max
lspFreq_sma[0]_max
F0_sma_iqr1-3
lspFreq_sma_de[4]_stddev
mfcc_sma[5]_stddev
mfcc_sma_de[5]_quartile2
mfcc_sma[2]_quartile1
mfcc_sma[9]_linregc2
lspFreq_sma[0]_range
mfcc_sma_de[6]_skewness
lspFreq_sma_de[5]_min
mfcc_sma[7]_quartile2
lspFreq_sma[5]_iqr1-2
mfcc_sma[12]_linregc2
voiceProb_sma_iqr2-3
mfcc_sma[9]_quartile1
mfcc_sma[7]_quartile1
pcm_loudness_sma_skewness
lspFreq_sma[4]_iqr1-2
mfcc_sma[12]_amean
mfcc_sma[3]_quartile3
lspFreq_sma[2]_min
F0_sma_quartile2
voiceProb_sma_de_stddev
mfcc_sma[2]_amean
F0env_sma_de_range
mfcc_sma[5]_quartile2
lspFreq_sma[1]_stddev
lspFreq_sma_de[3]_range
lspFreq_sma[2]_stddev
mfcc_sma[5]_quartile1
mfcc_sma_de[8]_min
lspFreq_sma_de[3]_stddev
mfcc_sma[4]_iqr2-3
